,Date,Time,Type,Opponent,Rank,Ranked Match,Conf,SRS,Result,PF,PA,W,L,Home Game,Win Streak,Lose Streak,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF
10,2023-12-22,9:00p,REG,Missouri,,False,SEC,3.27,W,97,73,9,2,False,2,0,32,65,0.492,11,33,0.333,22,31,0.71,15,47,17,5,4,10,14,29,74,0.392,6,27,0.222,9,16,0.563,8,30,6,8,4,6,23
11,2023-12-29,9:00p,REG,FDU,,False,NEC,-14.41,W,104,71,10,2,True,3,0,36,69,0.522,13,32,0.406,19,26,0.731,17,48,21,5,4,13,12,27,70,0.386,12,29,0.414,5,7,0.714,7,21,17,8,5,11,19
12,2024-01-02,9:00p,REG,Northwestern,,False,Big Ten,12.77,W,96,66,11,2,True,4,0,35,56,0.625,10,18,0.556,16,20,0.8,9,33,17,2,5,10,13,25,61,0.41,8,16,0.5,8,8,1.0,8,23,8,3,0,10,20
13,2024-01-05,8:30p,REG,Purdue,1.0,True,Big Ten,24.93,L,78,83,11,3,False,0,1,26,61,0.426,8,19,0.421,18,21,0.857,11,25,15,5,3,10,19,27,60,0.45,9,19,0.474,20,25,0.8,16,40,18,5,4,12,17
14,2024-01-11,9:00p,REG,Michigan State,,False,Big Ten,17.72,W,71,68,12,3,True,1,0,23,55,0.418,7,21,0.333,18,22,0.818,7,31,11,3,6,7,10,29,69,0.42,5,19,0.263,5,7,0.714,12,34,10,4,4,7,15
15,2024-01-14,2:00p,REG,Maryland,,False,Big Ten,10.6,L,67,76,12,4,True,0,1,21,64,0.328,6,22,0.273,19,24,0.792,10,35,8,5,3,8,14,30,65,0.462,4,17,0.235,12,17,0.706,10,37,14,4,6,7,15
16,2024-01-18,8:30p,REG,Michigan,,False,Big Ten,5.28,W,88,73,13,4,False,1,0,30,62,0.484,6,18,0.333,22,30,0.733,13,38,12,9,4,6,13,30,63,0.476,3,13,0.231,10,12,0.833,7,25,10,1,0,9,18
17,2024-01-21,1:00p,REG,Rutgers,,False,Big Ten,7.41,W,86,63,14,4,True,2,0,32,63,0.508,6,27,0.222,16,27,0.593,11,43,17,7,3,12,12,26,69,0.377,3,14,0.214,8,11,0.727,9,30,8,7,3,14,19
18,2024-01-24,9:00p,REG,Northwestern,,False,Big Ten,12.77,L,91,96,14,5,False,0,1,31,76,0.408,11,24,0.458,18,24,0.75,20,44,14,5,3,10,15,38,69,0.551,11,18,0.611,9,13,0.692,6,31,16,6,5,5,19
19,2024-01-27,3:00p,REG,Indiana,,False,Big Ten,7.74,W,70,62,15,5,True,1,0,23,62,0.371,7,23,0.304,17,26,0.654,12,39,8,6,4,8,18,25,54,0.463,0,9,0.0,12,22,0.545,7,33,8,3,2,9,22
20,2023-11-06,7:00p,REG,Ohio State,,False,Big Ten,13.64,W,87,75,16,5,False,2,0,29,58,0.5,10,31,0.323,12,23,0.522,8,46,15,4,5,12,13,20,69,0.29,4,11,0.364,8,16,0.5,10,34,7,4,2,7,22
21,2023-11-10,6:30p,REG,Nebraska,,False,Big Ten,14.36,W,87,84,17,5,True,3,0,26,55,0.473,4,16,0.25,8,16,0.5,8,33,13,3,2,9,8,21,56,0.375,5,20,0.25,6,9,0.667,7,31,4,7,1,7,16
22,2023-11-14,2:00p,REG,Michigan State,,False,Big Ten,17.72,L,80,88,17,6,False,0,1,21,60,0.35,11,33,0.333,11,13,0.846,11,37,8,6,7,15,15,27,62,0.435,5,17,0.294,12,20,0.6,9,36,7,9,0,8,14
23,2023-11-17,7:00p,REG,Michigan,,False,Big Ten,5.28,W,97,68,18,6,True,1,0,33,75,0.44,9,28,0.321,12,24,0.5,13,56,16,4,4,9,16,24,80,0.3,5,19,0.263,11,15,0.733,13,47,4,4,7,7,21
24,2023-11-19,5:30p,REG,Maryland,,False,Big Ten,10.6,W,85,80,19,6,False,2,0,36,63,0.571,5,22,0.227,11,17,0.647,15,48,18,4,3,21,12,23,61,0.377,5,24,0.208,9,14,0.643,4,16,10,13,1,12,14
25,2023-11-24,6:30p,REG,Penn State,,False,Big Ten,9.22,L,89,90,19,7,False,0,1,34,72,0.472,10,25,0.4,6,12,0.5,14,48,9,5,9,8,8,21,72,0.292,6,25,0.24,4,8,0.5,9,31,6,5,5,10,15
26,2023-12-02,2:15p,REG,Iowa,,False,Big Ten,13.0,W,95,85,20,7,True,1,0,30,66,0.455,9,21,0.429,7,11,0.636,14,49,12,3,4,15,20,20,60,0.333,6,13,0.462,12,20,0.6,6,23,9,9,9,10,17
27,2023-12-05,9:00p,REG,Minnesota,,False,Big Ten,9.51,W,105,97,21,7,True,2,0,36,57,0.632,8,20,0.4,18,20,0.9,4,23,10,4,3,13,18,31,64,0.484,9,23,0.391,18,22,0.818,10,26,23,7,1,13,16
28,2023-12-09,1:00p,REG,Wisconsin,,False,Big Ten,16.01,W,91,83,22,7,False,3,0,23,65,0.354,9,36,0.25,24,28,0.857,8,30,9,5,2,8,22,27,60,0.45,6,18,0.333,26,34,0.765,12,39,21,6,3,8,20
29,2023-12-17,7:00p,REG,Purdue,3.0,True,Big Ten,24.93,L,71,77,22,8,True,0,1,23,55,0.418,8,23,0.348,20,22,0.909,12,39,10,5,6,13,11,26,61,0.426,3,15,0.2,2,6,0.333,6,23,10,4,1,11,18
30,2023-12-22,7:00p,REG,Iowa,,False,Big Ten,13.0,W,73,61,23,8,False,1,0,32,65,0.492,11,33,0.333,22,31,0.71,15,47,17,5,4,10,14,29,74,0.392,6,27,0.222,9,16,0.563,8,30,6,8,4,6,23
31,2023-12-29,6:30p,CTOURN,Ohio State,,False,Big Ten,13.64,W,77,74,24,8,False,2,0,36,69,0.522,13,32,0.406,19,26,0.731,17,48,21,5,4,13,12,27,70,0.386,12,29,0.414,5,7,0.714,7,21,17,8,5,11,19
32,2024-01-02,3:30p,CTOURN,Nebraska,,False,Big Ten,14.36,W,98,87,25,8,False,3,0,35,56,0.625,10,18,0.556,16,20,0.8,9,33,17,2,5,10,13,25,61,0.41,8,16,0.5,8,8,1.0,8,23,8,3,0,10,20
33,2024-01-05,3:30p,CTOURN,Wisconsin,,False,Big Ten,16.01,W,93,87,26,8,False,4,0,26,61,0.426,8,19,0.421,18,21,0.857,11,25,15,5,3,10,19,27,60,0.45,9,19,0.474,20,25,0.8,16,40,18,5,4,12,17
34,2024-01-11,3:10p,NCAA,Morehead State,,False,OVC,0.51,W,85,69,27,8,False,5,0,23,55,0.418,7,21,0.333,18,22,0.818,7,31,11,3,6,7,10,29,69,0.42,5,19,0.263,5,7,0.714,12,34,10,4,4,7,15
35,2024-01-14,8:40p,NCAA,Duquesne,,False,A-10,7.35,W,89,63,28,8,False,6,0,21,64,0.328,6,22,0.273,19,24,0.792,10,35,8,5,3,8,14,30,65,0.462,4,17,0.235,12,17,0.706,10,37,14,4,6,7,15
36,2024-01-18,10:09p,NCAA,Iowa State,4.0,True,Big 12,22.3,W,72,69,29,8,False,7,0,30,62,0.484,6,18,0.333,22,30,0.733,13,38,12,9,4,6,13,30,63,0.476,3,13,0.231,10,12,0.833,7,25,10,1,0,9,18
37,2024-01-21,6:09p,NCAA,Connecticut,1.0,True,Big East,26.7,L,52,77,29,9,False,0,1,32,63,0.508,6,27,0.222,16,27,0.593,11,43,17,7,3,12,12,26,69,0.377,3,14,0.214,8,11,0.727,9,30,8,7,3,14,19
